administrative_code,administrative_name,municipality_code,population,households,latitude,longitude,coordinate_source,matched_address,kakao_place_id,geocoding_status,demand_rate_status,coordinate_reference_url,coordinate_basis
4145051000,경기도 하남시 천현동,41450,5672,3158,37.5191940114718,127.224056089724,kakao_administrative_office_representative_proxy,경기 하남시 검단남로 48,8090049,verified_municipality_match,pending_119_activity_api,,
4145052000,경기도 하남시 신장1동,41450,7069,4027,37.5387902964118,127.209586513273,kakao_administrative_office_representative_proxy,경기 하남시 신장1로27번길 13,18923842,verified_municipality_match,pending_119_activity_api,,
4145053000,경기도 하남시 신장2동,41450,44718,18743,37.5417340210565,127.214016750037,kakao_administrative_office_representative_proxy,경기 하남시 대청로21번길 32,7974583,verified_municipality_match,pending_119_activity_api,,
4145054000,경기도 하남시 덕풍1동,41450,13821,6267,37.5351874783608,127.19847488318459,kakao_administrative_office_representative_proxy,경기 하남시 덕풍공원로 110,24264341,verified_municipality_match,pending_119_activity_api,,
4145055000,경기도 하남시 덕풍2동,41450,17117,8368,37.5421941079862,127.198199257288,kakao_administrative_office_representative_proxy,경기 하남시 덕풍공원로 12,1148862695,verified_municipality_match,pending_119_activity_api,,
4145056000,경기도 하남시 덕풍3동,41450,27487,11790,37.55251191505071,127.20477904756325,kakao_administrative_office_representative_proxy,경기 하남시 덕풍서로 66,1201899663,verified_municipality_match,pending_119_activity_api,,
4145058000,경기도 하남시 감북동,41450,3218,1778,37.5161996997956,127.161915937619,kakao_administrative_office_representative_proxy,경기 하남시 감북로 39,8158365,verified_municipality_match,pending_119_activity_api,,
4145058200,경기도 하남시 감일동,41450,39590,14777,37.50799908556941,127.15902883647074,kakao_administrative_office_representative_proxy,경기 하남시 감일순환로 181,77626155,verified_municipality_match,pending_119_activity_api,,
4145058500,경기도 하남시 위례동,41450,35311,12270,37.4772023871741,127.152421052743,kakao_administrative_office_representative_proxy,경기 하남시 위례순환로 310,2031925661,verified_municipality_match,pending_119_activity_api,,
4145059000,경기도 하남시 춘궁동,41450,700,476,37.5221445769178,127.194150708906,kakao_administrative_office_representative_proxy,경기 하남시 서하남로 490,8116575,verified_municipality_match,pending_119_activity_api,,
4145060000,경기도 하남시 초이동,41450,2838,1656,37.5366182163079,127.17084872863823,kakao_administrative_office_representative_proxy,경기 하남시 초이로 65,10840995,verified_municipality_match,pending_119_activity_api,,
4145061000,경기도 하남시 미사1동,41450,54138,28282,37.5603159330941,127.188807992732,kakao_administrative_office_representative_proxy,경기 하남시 미사강변남로 59,24925770,verified_municipality_match,pending_119_activity_api,,
4145062000,경기도 하남시 미사2동,41450,46276,18404,37.5671750754927,127.186054389942,kakao_administrative_office_representative_proxy,경기 하남시 아리수로 531,1882067780,verified_municipality_match,pending_119_activity_api,,
4145063000,경기도 하남시 미사3동,41450,29434,11042,37.55079569430591,127.1884388179658,kakao_administrative_office_representative_proxy,경기 하남시 조정대로 80,11223463,verified_municipality_match,pending_119_activity_api,,
